GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Total civilian noninstitutionalized population
HC01_MOE_VC01,Total; Margin of Error; Total civilian noninstitutionalized population
HC02_EST_VC01,With a disability; Estimate; Total civilian noninstitutionalized population
HC02_MOE_VC01,With a disability; Margin of Error; Total civilian noninstitutionalized population
HC03_EST_VC01,Percent  with a disability; Estimate; Total civilian noninstitutionalized population
HC03_MOE_VC01,Percent  with a disability; Margin of Error; Total civilian noninstitutionalized population
HC01_EST_VC02,Total; Estimate; Population under 5 years
HC01_MOE_VC02,Total; Margin of Error; Population under 5 years
HC02_EST_VC02,With a disability; Estimate; Population under 5 years
HC02_MOE_VC02,With a disability; Margin of Error; Population under 5 years
HC03_EST_VC02,Percent  with a disability; Estimate; Population under 5 years
HC03_MOE_VC02,Percent  with a disability; Margin of Error; Population under 5 years
HC01_EST_VC03,Total; Estimate; Population under 5 years - With a hearing difficulty
HC01_MOE_VC03,Total; Margin of Error; Population under 5 years - With a hearing difficulty
HC02_EST_VC03,With a disability; Estimate; Population under 5 years - With a hearing difficulty
HC02_MOE_VC03,With a disability; Margin of Error; Population under 5 years - With a hearing difficulty
HC03_EST_VC03,Percent  with a disability; Estimate; Population under 5 years - With a hearing difficulty
HC03_MOE_VC03,Percent  with a disability; Margin of Error; Population under 5 years - With a hearing difficulty
HC01_EST_VC04,Total; Estimate; Population under 5 years - With a vision difficulty
HC01_MOE_VC04,Total; Margin of Error; Population under 5 years - With a vision difficulty
HC02_EST_VC04,With a disability; Estimate; Population under 5 years - With a vision difficulty
HC02_MOE_VC04,With a disability; Margin of Error; Population under 5 years - With a vision difficulty
HC03_EST_VC04,Percent  with a disability; Estimate; Population under 5 years - With a vision difficulty
HC03_MOE_VC04,Percent  with a disability; Margin of Error; Population under 5 years - With a vision difficulty
HC01_EST_VC05,Total; Estimate; Population 5 to 17 years
HC01_MOE_VC05,Total; Margin of Error; Population 5 to 17 years
HC02_EST_VC05,With a disability; Estimate; Population 5 to 17 years
HC02_MOE_VC05,With a disability; Margin of Error; Population 5 to 17 years
HC03_EST_VC05,Percent  with a disability; Estimate; Population 5 to 17 years
HC03_MOE_VC05,Percent  with a disability; Margin of Error; Population 5 to 17 years
HC01_EST_VC06,Total; Estimate; Population 5 to 17 years - With a hearing difficulty
HC01_MOE_VC06,Total; Margin of Error; Population 5 to 17 years - With a hearing difficulty
HC02_EST_VC06,With a disability; Estimate; Population 5 to 17 years - With a hearing difficulty
HC02_MOE_VC06,With a disability; Margin of Error; Population 5 to 17 years - With a hearing difficulty
HC03_EST_VC06,Percent  with a disability; Estimate; Population 5 to 17 years - With a hearing difficulty
HC03_MOE_VC06,Percent  with a disability; Margin of Error; Population 5 to 17 years - With a hearing difficulty
HC01_EST_VC07,Total; Estimate; Population 5 to 17 years - With a vision difficulty
HC01_MOE_VC07,Total; Margin of Error; Population 5 to 17 years - With a vision difficulty
HC02_EST_VC07,With a disability; Estimate; Population 5 to 17 years - With a vision difficulty
HC02_MOE_VC07,With a disability; Margin of Error; Population 5 to 17 years - With a vision difficulty
HC03_EST_VC07,Percent  with a disability; Estimate; Population 5 to 17 years - With a vision difficulty
HC03_MOE_VC07,Percent  with a disability; Margin of Error; Population 5 to 17 years - With a vision difficulty
HC01_EST_VC08,Total; Estimate; Population 5 to 17 years - With a cognitive difficulty
HC01_MOE_VC08,Total; Margin of Error; Population 5 to 17 years - With a cognitive difficulty
HC02_EST_VC08,With a disability; Estimate; Population 5 to 17 years - With a cognitive difficulty
HC02_MOE_VC08,With a disability; Margin of Error; Population 5 to 17 years - With a cognitive difficulty
HC03_EST_VC08,Percent  with a disability; Estimate; Population 5 to 17 years - With a cognitive difficulty
HC03_MOE_VC08,Percent  with a disability; Margin of Error; Population 5 to 17 years - With a cognitive difficulty
